DOI;Title;Abstract;Year;Month;Journal;Authors;Cite;Pub_Date
10.1016/j.resmic.2022.103921;Staphylococcus aureus surface protein G (sasG) allelic variants: correlation between biofilm formation and their prevalence in methicillin-resistant S. aureus (MRSA) clones.;"Methicillin-resistant Staphylococcus aureus (MRSA) may persist for long periods due to biofilm formation. The objective of this study was to describe biofilm formation in association with the presence of S. aureus surface protein G (sasG) and its allelic variants in MRSA bacteraemia isolates from endemic (CC5, CC8, CC22) and sporadic clones in Spain (2008-2015). Crystal violet staining was used to assess biofilm formation; DNA microarray, RT-qPCR, and long-read whole genome sequencing were applied to determine the presence, expression and structure of sasG, respectively. The endemic CC5 and CC8 clones produced more biofilm than the sporadic clones; these endemic clones carried sasG allelic variant 1. Otherwise, sporadic clones, with less biofilm formation, showed either an absence of sasG (65%) or the presence of allelic variant 2 (35%). Variants 1 and 2 differed in the expression of sasG (1.56 ± 1.20 and 0.37 ± 0.32, respectively). The analysis of a large cohort of closed S. aureus genomes available on the NCBI database confirmed the distribution of the two allelic variants with low amino acid identity (68.1%) among endemic and sporadic clones. SasG variant 1 present in the major CC5 and CC8 clones was correlated with increased biofilm formation and may represent an important virulence determinant.";2022;;Research in microbiology;"Carrera-Salinas A; González-Díaz A; Vázquez-Sánchez DA; Camoez M; Niubó J; Càmara J; Ardanuy C; Martí S; Domínguez MÁ";"Carrera-Salinas A; González-Díaz A; Vázquez-Sánchez DA; Camoez M; Niubó J; Càmara J; Ardanuy C; Martí S; Domínguez MÁ. Staphylococcus aureus surface protein G (sasG) allelic variants: correlation between biofilm formation and their prevalence in methicillin-resistant S. aureus (MRSA) clones.. Research in microbiology. 2022;.";2022
10.1016/j.snb.2022.132638;Plasma-induced nanoparticle aggregation for stratifying COVID-19 patients according to disease severity.;Stratifying patients according to disease severity has been a major hurdle during the COVID-19 pandemic. This usually requires evaluating the levels of several biomarkers, which may be cumbersome when rapid decisions are required. In this manuscript we show that a single nanoparticle aggregation test can be used to distinguish patients that require intensive care from those that have already been discharged from the intensive care unit (ICU). It consists of diluting a platelet-free plasma sample and then adding gold nanoparticles. The nanoparticles aggregate to a larger extent when the samples are obtained from a patient in the ICU. This changes the color of the colloidal suspension, which can be evaluated by measuring the pixel intensity of a photograph. Although the exact factor or combination of factors behind the different aggregation behavior is unknown, control experiments demonstrate that the presence of proteins in the samples is crucial for the test to work. Principal component analysis demonstrates that the test result is highly correlated to biomarkers of prognosis and inflammation that are commonly used to evaluate the severity of COVID-19 patients. The results shown here pave the way to develop nanoparticle aggregation assays that classify COVID-19 patients according to disease severity, which could be useful to de-escalate care safely and make a better use of hospital resources.;2022;Dec;Sensors and actuators. B, Chemical;"Santopolo G; Clemente A; González-Freire M; Russell SM; Vaquer A; Barón E; Aranda M; Socias A; Del Castillo A; Borges M; de la Rica R";"Santopolo G; Clemente A; González-Freire M; Russell SM; Vaquer A; Barón E; Aranda M; Socias A; Del Castillo A; Borges M; de la Rica R. Plasma-induced nanoparticle aggregation for stratifying COVID-19 patients according to disease severity.. Sensors and actuators. B, Chemical. 2022;Dec.";2022-Dec
10.1017/ice.2023.75;Molecular characterization of a suspected IMP-type carbapenemase-producing Pseudomonas aeruginosa outbreak reveals two simultaneous outbreaks in a tertiary-care hospital.;To describe IMP-type carbapenemase-producing Pseudomonas aeruginosa outbreaks at Galdakao University Hospital between March 2021 to December 2021. Outbreak report. Galdakao University Hospital is a tertiary-care hospital in the Basque Country (northern Spain). All patients with a positive IMP-type carbapenemase producing Pseudomonas aeruginosa (IMP-PA) culture were included in this study, both colonization and infection cases. An outbreak investigation was conducted, in which molecular epidemiology analysis [pulsed-field gel electrophoresis and whole-genome sequencing (WGS)] and environmental screenings were performed. Between March and December 2021, 21 cases of IMP-PA were detected in Galdakao University Hospital: 18 infection cases and 3 colonization cases. In total, 4 different pulsotypes were detected belonging to 4 clones according to WGS: ST175 (n = 14), ST633 (n = 3), ST179 (n = 3), and ST348 (n = 1). IMP-13 was detected in most isolates belonging to the ST175 clone and in all ST179 and ST348 clones, whereas IMP-29 was detected in isolates belonging to the ST633 clone. Clinical isolates belonging to the ST175 clone were isolated mainly from patients admitted to the respiratory ward, and isolates belonging to the ST633 clone from patients admitted to the ICU. Two environmental isolates belonging to the ST175 clone were detected in the respiratory ward. Molecular and genomic epidemiology revealed that there had been 2 independent IMP-PA outbreaks, one of long duration in the respiratory ward and the other more limited in the ICU.;2023;Nov;Infection control and hospital epidemiology;"Gual-de-Torrella A; López-Causape C; Alejo-Cancho I; Rojo-Molinero E; Sanchez-García G; Cortés-Lara S; Rodríguez Moral MB; Berdonces-Gonzalez P; Lopez de Goikoetxea MJ; Oliver A";"Gual-de-Torrella A; López-Causape C; Alejo-Cancho I; Rojo-Molinero E; Sanchez-García G; Cortés-Lara S; Rodríguez Moral MB; Berdonces-Gonzalez P; Lopez de Goikoetxea MJ; Oliver A. Molecular characterization of a suspected IMP-type carbapenemase-producing Pseudomonas aeruginosa outbreak reveals two simultaneous outbreaks in a tertiary-care hospital.. Infection control and hospital epidemiology. 2023;Nov.";2023-Nov
10.1021/acs.analchem.2c01724;Rapid Identification and Classification of Pathogens That Produce Carbapenemases and Cephalosporinases with a Colorimetric Paper-Based Multisensor.;Infections caused by bacteria that produce β-lactamases (BLs) are a major problem in hospital settings. The phenotypic detection of these bacterial strains requires culturing samples prior to analysis. This procedure may take up to 72 h, and therefore it cannot be used to guide the administration of the first antibiotic regimen. Here, we propose a multisensor for identifying pathogens bearing different types of β-lactamases above the infectious dose threshold within 90 min that does not require culturing samples. Instead, bacterial cells are preconcentrated in the cellulose scaffold of a paper-based multisensor. Then, 12 assays are performed in parallel to identify whether the pathogens produce carbapenemases and/or cephalosporinases, including metallo-β-lactamases, extended-spectrum β-lactamases (ESBLs), and AmpC enzymes. The multisensor generates an array of colored spots that can be quantified with image processing software and whose interpretation leads to the detection of the different enzymes depending on their specificity toward the hydrolysis of certain antibiotics, and/or their pattern of inhibition or cofactor activation. The test was validated for the diagnosis of urinary tract infections. The inexpensive paper platform along with the uncomplicated colorimetric readout makes the proposed prototypes promising for developing fully automated platforms for streamlined clinical diagnosis.;2022;Jul;Analytical chemistry;"Santopolo G; Clemente A; Rojo-Molinero E; Oliver A; Noé C; de la Rica R";"Santopolo G; Clemente A; Rojo-Molinero E; Oliver A; Noé C; de la Rica R. Rapid Identification and Classification of Pathogens That Produce Carbapenemases and Cephalosporinases with a Colorimetric Paper-Based Multisensor.. Analytical chemistry. 2022;Jul.";2022-Jul
10.1021/acsnano.3c08041;Nonlethal Molecular Nanomachines Potentiate Antibiotic Activity Against Gram-Negative Bacteria by Increasing Cell Permeability and Attenuating Efflux.;Antibiotic resistance is a pressing public health threat. Despite rising resistance, antibiotic development, especially for Gram-negative bacteria, has stagnated. As the traditional antibiotic research and development pipeline struggles to address this growing concern, alternative solutions become imperative. Synthetic molecular nanomachines (MNMs) are molecular structures that rotate unidirectionally in a controlled manner in response to a stimulus, such as light, resulting in a mechanical action that can propel molecules to drill into cell membranes, causing rapid cell death. Due to their broad destructive capabilities, clinical translation of MNMs remains challenging. Hence, here, we explore the ability of nonlethal visible-light-activated MNMs to potentiate conventional antibiotics against Gram-negative bacteria. Nonlethal MNMs enhanced the antibacterial activity of various classes of conventional antibiotics against Gram-negative bacteria, including those typically effective only against Gram-positive strains, reducing the antibiotic concentration required for bactericidal action. Our study also revealed that MNMs bind to the negatively charged phospholipids of the bacterial inner membrane, leading to permeabilization of the cell envelope and impairment of efflux pump activity following light activation of MNMs. The combined effects of MNMs on membrane permeability and efflux pumps resulted in increased antibiotic accumulation inside the cell, reversing antibiotic resistance and attenuating its development. These results identify nonlethal MNMs as pleiotropic antibiotic enhancers or adjuvants. The combination of MNMs with traditional antibiotics is a promising strategy against multidrug-resistant Gram-negative infections. This approach can reduce the amount of antibiotics needed and slow down antibiotic resistance development, thereby preserving the effectiveness of our current antibiotics.;2024;Jan;ACS nano;"Santos AL; Liu D; van Venrooy A; Beckham JL; Oliver A; Tegos GP; Tour JM";"Santos AL; Liu D; van Venrooy A; Beckham JL; Oliver A; Tegos GP; Tour JM. Nonlethal Molecular Nanomachines Potentiate Antibiotic Activity Against Gram-Negative Bacteria by Increasing Cell Permeability and Attenuating Efflux.. ACS nano. 2024;Jan.";2024-Jan
10.1021/acssensors.3c00523;Engineering a Point-of-Care Paper-Microfluidic Electrochemical Device Applied to the Multiplexed Quantitative Detection of Biomarkers in Sputum.;Health initiatives worldwide demand affordable point-of-care devices to aid in the reduction of morbidity and mortality rates of high-incidence infectious and noncommunicable diseases. However, the production of robust and reliable easy-to-use diagnostic platforms showing the ability to quantitatively measure several biomarkers in physiological fluids and that could in turn be decentralized to reach any relevant environment remains a challenge. Here, we show the particular combination of paper-microfluidic technology, electrochemical transduction, and magnetic nanoparticle-based immunoassay approaches to produce a unique, compact, and easily deployable multiplex device to simultaneously measure interleukin-8, tumor necrosis factor-α, and myeloperoxidase biomarkers in sputum, developed with the aim of facilitating the timely detection of acute exacerbations of chronic obstructive pulmonary disease. The device incorporates an on-chip electrochemical cell array and a multichannel paper component, engineered to be easily aligned into a polymeric cartridge and exchanged if necessary. Calibration curves at clinically relevant biomarker concentration ranges are produced in buffer and artificial sputum. The analysis of sputum samples of healthy individuals and acutely exacerbated patients produces statistically significant biomarker concentration differences between the two studied groups. The device can be mass-produced at a low cost, being an easily adaptable platform for measuring other disease-related target biomarkers.;2023;Aug;ACS sensors;"Gutiérrez-Capitán M; Sanchís A; Carvalho EO; Baldi A; Vilaplana L; Cardoso VF; Calleja Á; Wei M; de la Rica R; Hoyo J; Bassegoda A; Tzanov T; Marco MP; Lanceros-Méndez S; Fernández-Sánchez C";"Gutiérrez-Capitán M; Sanchís A; Carvalho EO; Baldi A; Vilaplana L; Cardoso VF; Calleja Á; Wei M; de la Rica R; Hoyo J; Bassegoda A; Tzanov T; Marco MP; Lanceros-Méndez S; Fernández-Sánchez C. Engineering a Point-of-Care Paper-Microfluidic Electrochemical Device Applied to the Multiplexed Quantitative Detection of Biomarkers in Sputum.. ACS sensors. 2023;Aug.";2023-Aug
10.1038/s41598-023-50685-1;Filling knowledge gaps related to AmpC-dependent β-lactam resistance in Enterobacter cloacae.;"Enterobacter cloacae starred different pioneer studies that enabled the development of a widely accepted model for the peptidoglycan metabolism-linked regulation of intrinsic class C cephalosporinases, highly conserved in different Gram-negatives. However, some mechanistic and fitness/virulence-related aspects of E. cloacae choromosomal AmpC-dependent resistance are not completely understood. The present study including knockout mutants, β-lactamase cloning, gene expression analysis, characterization of resistance phenotypes, and the Galleria mellonella infection model fills these gaps demonstrating that: (i) AmpC enzyme does not show any collateral activity impacting fitness/virulence; (ii) AmpC hyperproduction mediated by ampD inactivation does not entail any biological cost; (iii) alteration of peptidoglycan recycling alone or combined with AmpC hyperproduction causes no attenuation of E. cloacae virulence in contrast to other species; (iv) derepression of E. cloacae AmpC does not follow a stepwise dynamics linked to the sequential inactivation of AmpD amidase homologues as happens in Pseudomonas aeruginosa; (v) the enigmatic additional putative AmpC-type β-lactamase generally present in E. cloacae does not contribute to the classical cephalosporinase hyperproduction-based resistance, having a negligible impact on phenotypes even when hyperproduced from multicopy vector. This study reveals interesting particularities in the chromosomal AmpC-related behavior of E. cloacae that complete the knowledge on this top resistance mechanism.";2024;Jan;Scientific reports;"Barceló IM; Escobar-Salom M; Jordana-Lluch E; Torrens G; Oliver A; Juan C";"Barceló IM; Escobar-Salom M; Jordana-Lluch E; Torrens G; Oliver A; Juan C. Filling knowledge gaps related to AmpC-dependent β-lactam resistance in Enterobacter cloacae.. Scientific reports. 2024;Jan.";2024-Jan
10.1080/23744235.2024.2396882;Synergistic efficacy of ceftazidime/avibactam and aztreonam against carbapenemase-producing Pseudomonas aeruginosa: insights from the hollow-fiber infection model.;Combination therapy is an attractive therapeutic option for extensively drug-resistant (XDR) Pseudomonas aeruginosa infections. Existing data support the combination of aztreonam and ceftazidime/avibactam (CZA) against class serine-β-lactamase (SBL)- and metallo-β-lactamase (MBL) - producing Enterobacterales. However, data about that combination against SBL- and MBL-producing P. aeruginosa are scarce. The objective of the study was to assess the in vitro activity of CZA and aztreonam alone and in combination against SBL- and MBL-producing XDR P. aeruginosa isolates. The combination was analyzed by means of the hollow-fiber infection model in three selected carbapenemase-producing P. aeruginosa isolates that were representative of the three most common XDRP. aeruginosa high-risk clones (ST175, ST111, ST235) responsible for global nosocomial infection outbreaks. The three isolates were nonsusceptible to CZA and nonsusceptible to aztreonam. In the dynamic hollow-fiber infection model, the combination of CZA plus aztreonam exerts a bactericidal effect on the isolates, regardless of their resistance mechanism and demonstrates synergistic interactions against three isolates, achieving a bacterial reduction of 5.07 log10 CFU/ml, 5.2 log10 CFU/ml and 4 log10 CFU/ml, respectively. The combination of CZA and aztreonam significantly enhanced the in vitro efficacy against XDR P. aeruginosa isolates compared to each monotherapy. This improvement suggests that the combination could serve as a feasible treatment alternative for infections caused by carbapenemase-producing XDR P. aeruginosa, especially in scenarios where no other treatment options are available.;2025;Jan;Infectious diseases (London, England);"Montero MM; Domene-Ochoa S; Prim N; Ferola E; López-Causapé C; Echeverria D; Morisaki MFA; Vega-Toribio V; Sorlí L; Luque S; Padilla E; Oliver A; Horcajada JP";"Montero MM; Domene-Ochoa S; Prim N; Ferola E; López-Causapé C; Echeverria D; Morisaki MFA; Vega-Toribio V; Sorlí L; Luque S; Padilla E; Oliver A; Horcajada JP. Synergistic efficacy of ceftazidime/avibactam and aztreonam against carbapenemase-producing Pseudomonas aeruginosa: insights from the hollow-fiber infection model.. Infectious diseases (London, England). 2025;Jan.";2025-Jan
10.1089/aid.2021.0122;Use of Generic Antiretroviral Drugs and Single-Tablet Regimen De-Simplification for the Treatment of HIV Infection in Spain.;"The present study sought to describe the use of generic drugs and single-tablet regimen (STR) de-simplification for the treatment of human immunodeficiency virus (HIV) infection among 41 hospitals from the cohort of the Spanish HIV/AIDS Research Network (CoRIS). In June 2018, we collected information on when generic antiretroviral drugs (ARVs) were introduced in the different hospitals, how the decisions to use them were made, and how the information was provided to the patients. Most of the nine available generic ARVs in Spain by June 2018 had been introduced in at least 85% of the participating hospitals, except for zidovudine (AZT)/lamivudine (3TC) and AZT. The time difference between the effective marketing date of each generic ARV and its first dispensing date in the hospitals was much shorter for the more recently approved generic ARV since the year 2017. However, only up to 20% of the hospitals de-simplified efavirenz (EFV)/tenofovir disoproxil (TDF)/emtricitabine (FTC), dolutegravir (DTG)/abacavir (ABC)/3TC, and rilpivirine (RPV)/TDF/FTC (to generic EFV+TDF/FTC, DTG+generic ABC/3TC, and RPV+generic TDF/FTC, respectively), whereas the generic STR EFV/TDF/FTC was introduced in 87.8% of the centers. The median times between the date of effective marketing of generic TDF/FTC and the date of de-simplification of EFV/TDF/FTC and RPV/TDF/FTC were 723 [interquartile range (IQR): 369-1,119] and 234 (IQR: 142-264) days, respectively; this time was 155 (IQR: 28-287) days for de-simplification of DTG/ABC/3TC. In conclusion, despite the widespread use of generic ARVs, STRs de-simplification was only undertaken in <20% of the hospitals. There was wide variability in the timing of the introduction of each generic ARV after they were available in the market.";2022;Jun;AIDS research and human retroviruses;"Ruiz-Algueró M; Alejos B; García Yubero C; Riera Jaume M; Antonio Iribarren J; Asensi V; Pasquau F; Galera CE; Pascual-Carrasco M; Muñoz A; Jarrín I; Suárez-García I";"Ruiz-Algueró M; Alejos B; García Yubero C; Riera Jaume M; Antonio Iribarren J; Asensi V; Pasquau F; Galera CE; Pascual-Carrasco M; Muñoz A; Jarrín I; Suárez-García I. Use of Generic Antiretroviral Drugs and Single-Tablet Regimen De-Simplification for the Treatment of HIV Infection in Spain.. AIDS research and human retroviruses. 2022;Jun.";2022-Jun
10.1093/evlett/qrae030;Antibiotic resistance alters the ability of Pseudomonas aeruginosa to invade bacteria from the respiratory microbiome.;The emergence and spread of antibiotic resistance in bacterial pathogens is a global health threat. One important unanswered question is how antibiotic resistance influences the ability of a pathogen to invade the host-associated microbiome. Here we investigate how antibiotic resistance impacts the ability of a bacterial pathogen to invade bacteria from the microbiome, using the opportunistic bacterial pathogen Pseudomonas aeruginosa and the respiratory microbiome as our model system. We measure the ability of P. aeruginosa spontaneous antibiotic-resistant mutants to invade pre-established cultures of commensal respiratory microbes in an assay that allows us to link specific resistance mutations with changes in invasion ability. While commensal respiratory microbes tend to provide some degree of resistance to P. aeruginosa invasion, antibiotic resistance is a double-edged sword that can either help or hinder the ability of P. aeruginosa to invade. The directionality of this help or hindrance depends on both P. aeruginosa genotype and respiratory microbe identity. Specific resistance mutations in genes involved in multidrug efflux pump regulation are shown to facilitate the invasion of P. aeruginosa into Staphylococcus lugdunensis, yet impair invasion into Rothia mucilaginosa and Staphylococcus epidermidis. Streptococcus species provide the strongest resistance to P. aeruginosa invasion, and this is maintained regardless of antibiotic resistance genotype. Our study demonstrates how the cost of mutations that provide enhanced antibiotic resistance in P. aeruginosa can crucially depend on community context. We suggest that attempts to manipulate the microbiome should focus on promoting the growth of commensals that can increase the fitness costs associated with antibiotic resistance and provide robust inhibition of both wildtype and antibiotic-resistant pathogen strains.;2024;Sep;Evolution letters;"Lindon S; Shah S; Gifford DR; Lood C; Gomis Font MA; Kaur D; Oliver A; MacLean RC; Wheatley RM";"Lindon S; Shah S; Gifford DR; Lood C; Gomis Font MA; Kaur D; Oliver A; MacLean RC; Wheatley RM. Antibiotic resistance alters the ability of Pseudomonas aeruginosa to invade bacteria from the respiratory microbiome.. Evolution letters. 2024;Sep.";2024-Sep
10.1093/femsre/fuad010;Bacterial virulence regulation through soluble peptidoglycan fragments sensing and response: knowledge gaps and therapeutic potential.;Given the growing clinical-epidemiological threat posed by the phenomenon of antibiotic resistance, new therapeutic options are urgently needed, especially against top nosocomial pathogens such as those within the ESKAPE group. In this scenario, research is pushed to explore therapeutic alternatives and, among these, those oriented toward reducing bacterial pathogenic power could pose encouraging options. However, the first step in developing these antivirulence weapons is to find weak points in the bacterial biology to be attacked with the goal of dampening pathogenesis. In this regard, during the last decades some studies have directly/indirectly suggested that certain soluble peptidoglycan-derived fragments display virulence-regulatory capacities, likely through similar mechanisms to those followed to regulate the production of several β-lactamases: binding to specific transcriptional regulators and/or sensing/activation of two-component systems. These data suggest the existence of intra- and also intercellular peptidoglycan-derived signaling capable of impacting bacterial behavior, and hence likely exploitable from the therapeutic perspective. Using the well-known phenomenon of peptidoglycan metabolism-linked β-lactamase regulation as a starting point, we gather and integrate the studies connecting soluble peptidoglycan sensing with fitness/virulence regulation in Gram-negatives, dissecting the gaps in current knowledge that need filling to enable potential therapeutic strategy development, a topic which is also finally discussed.;2023;Mar;FEMS microbiology reviews;"Escobar-Salom M; Barceló IM; Jordana-Lluch E; Torrens G; Oliver A; Juan C";"Escobar-Salom M; Barceló IM; Jordana-Lluch E; Torrens G; Oliver A; Juan C. Bacterial virulence regulation through soluble peptidoglycan fragments sensing and response: knowledge gaps and therapeutic potential.. FEMS microbiology reviews. 2023;Mar.";2023-Mar
10.1093/ije/dyad083;Cohort Profile: PISCIS, a population-based cohort of people living with HIV in Catalonia and Balearic Islands.;;2023;Aug;International journal of epidemiology;"Bruguera A; Nomah D; Moreno-Fornés S; Díaz Y; Aceitón J; Reyes-Urueña J; Ambrosioni J; Llibre JM; Falcó V; Imaz A; Fanjul F; Navarro G; Pere D; León E; Mera A; Miró JM; Casabona J";"Bruguera A; Nomah D; Moreno-Fornés S; Díaz Y; Aceitón J; Reyes-Urueña J; Ambrosioni J; Llibre JM; Falcó V; Imaz A; Fanjul F; Navarro G; Pere D; León E; Mera A; Miró JM; Casabona J. Cohort Profile: PISCIS, a population-based cohort of people living with HIV in Catalonia and Balearic Islands.. International journal of epidemiology. 2023;Aug.";2023-Aug
10.1093/jac/dkab496;Comparative analysis of in vitro dynamics and mechanisms of ceftolozane/tazobactam and imipenem/relebactam resistance development in Pseudomonas aeruginosa XDR high-risk clones.;To analyse the dynamics and mechanisms of stepwise resistance development to ceftolozane/tazobactam and imipenem/relebactam in XDR Pseudomonas aeruginosa clinical strains. XDR clinical isolates belonging to ST111 (main resistance mechanisms: oprD-, dacB-, CARB-2), ST175 (oprD-, ampR-G154R) and ST235 (oprD-, OXA-2) high-risk clones were incubated for 24 h in Müeller-Hinton Broth with 0.125-64 mg/L of ceftolozane + tazobactam 4 mg/L or imipenem + relebactam 4 mg/L. Tubes from the highest antibiotic concentration showing growth were reinoculated into fresh medium containing concentrations up to 64 mg/L for 7 consecutive days. Two colonies per strain from each of the triplicate experiments were characterized by determining the susceptibility profiles, whole genome sequencing (WGS), and in vitro fitness through competitive growth assays. Resistance development occurred more slowly and reached a lower level for imipenem/relebactam than for ceftolozane/tazobactam in all tested XDR strains. Moreover, resistance development to imipenem/relebactam remained low even for ST175 isolates that had developed ceftolozane/tazobactam resistance during therapy. Lineages evolved in the presence of ceftolozane/tazobactam showed high-level resistance, imipenem/relebactam hypersusceptibility and low fitness cost, whereas lineages evolved in the presence of imipenem/relebactam showed moderate (borderline) resistance, no cross-resistance to ceftolozane/tazobactam and high fitness cost. WGS evidenced that ceftolozane/tazobactam resistance was mainly caused by mutations in the catalytic centres of intrinsic (AmpC) or acquired (OXA) β-lactamases, whereas lineages evolved in imipenem/relebactam frequently showed structural mutations in MexB or in ParS, along with some strain-specific mutations. Imipenem/relebactam could be a useful alternative for the treatment of XDR P. aeruginosa infections, potentially reducing resistance development during therapy.;2022;Mar;The Journal of antimicrobial chemotherapy;"Gomis-Font MA; Cabot G; López-Argüello S; Zamorano L; Juan C; Moyá B; Oliver A";"Gomis-Font MA; Cabot G; López-Argüello S; Zamorano L; Juan C; Moyá B; Oliver A. Comparative analysis of in vitro dynamics and mechanisms of ceftolozane/tazobactam and imipenem/relebactam resistance development in Pseudomonas aeruginosa XDR high-risk clones.. The Journal of antimicrobial chemotherapy. 2022;Mar.";2022-Mar
10.1093/jac/dkac122;Susceptibility profiles and resistance genomics of Pseudomonas aeruginosa isolates from European ICUs participating in the ASPIRE-ICU trial.;To determine the susceptibility profiles and the resistome of Pseudomonas aeruginosa isolates from European ICUs during a prospective cohort study (ASPIRE-ICU). 723 isolates from respiratory samples or perianal swabs of 402 patients from 29 sites in 11 countries were studied. MICs of 12 antibiotics were determined by broth microdilution. Horizontally acquired β-lactamases were analysed through phenotypic and genetic assays. The first respiratory isolates from 105 patients providing such samples were analysed through WGS, including the analysis of the resistome and a previously defined genotypic resistance score. Spontaneous mutant frequencies and the genetic basis of hypermutation were assessed. All agents except colistin showed resistance rates above 20%, including ceftolozane/tazobactam and ceftazidime/avibactam. 24.9% of the isolates were XDR, with a wide intercountry variation (0%-62.5%). 13.2% of the isolates were classified as DTR (difficult-to-treat resistance). 21.4% of the isolates produced ESBLs (mostly PER-1) or carbapenemases (mostly NDM-1, VIM-1/2 and GES-5). WGS showed that these determinants were linked to high-risk clones (particularly ST235 and ST654). WGS revealed a wide repertoire of mutation-driven resistance mechanisms, with multiple lineage-specific mutations. The most frequently mutated genes were gyrA, parC, oprD, mexZ, nalD and parS, but only two of the isolates were hypermutable. Finally, a good accuracy of the genotypic score to predict susceptibility (91%-100%) and resistance (94%-100%) was documented. An overall high prevalence of resistance is documented European ICUs, but with a wide intercountry variability determined by the dissemination of XDR high-risk clones, arguing for the need to reinforce infection control measures.;2022;Jun;The Journal of antimicrobial chemotherapy;"Torrens G; van der Schalk TE; Cortes-Lara S; Timbermont L; Del Barrio-Tofiño E; Xavier BB; Zamorano L; Lammens C; Ali O; Ruzin A; Goossens H; Kumar-Singh S; Kluytmans J; Paling F; MacLean RC; Köhler T; López-Causapé C; Malhotra-Kumar S; Oliver A";"Torrens G; van der Schalk TE; Cortes-Lara S; Timbermont L; Del Barrio-Tofiño E; Xavier BB; Zamorano L; Lammens C; Ali O; Ruzin A; Goossens H; Kumar-Singh S; Kluytmans J; Paling F; MacLean RC; Köhler T; López-Causapé C; Malhotra-Kumar S; Oliver A. Susceptibility profiles and resistance genomics of Pseudomonas aeruginosa isolates from European ICUs participating in the ASPIRE-ICU trial.. The Journal of antimicrobial chemotherapy. 2022;Jun.";2022-Jun
10.1093/jac/dkac232;In vivo translational assessment of the GES genotype on the killing profile of ceftazidime, ceftazidime/avibactam and meropenem against Pseudomonas aeruginosa.;"To evaluate the in vivo killing profile of human-simulated exposures of ceftazidime, ceftazidime/avibactam and meropenem against GES-harbouring Pseudomonas aeruginosa in the murine thigh infection model. Five P. aeruginosa isolates [three isogenic (GES-1, GES-5 and GES-15) and two clinical (GES-5 and GES-15)] were evaluated. MICs were determined using broth microdilution. Human-simulated regimens (HSRs) of ceftazidime 2 g IV q8h as a 2 h infusion, ceftazidime/avibactam 2.5 g IV q8h as a 2 h infusion and meropenem 2 g IV q8h as a 3 h infusion were administered. Change in bacterial burden relative to baseline was assessed. Modal MICs ranged from 8 to &gt;64 mg/L for ceftazidime, from 1 to 16 mg/L for ceftazidime/avibactam and from 1 to &gt;64 mg/L for meropenem. In vivo, for the isogenic strains, avibactam augmented ceftazidime activity against the GES-1- and GES-15-harbouring isolates. Both ceftazidime and ceftazidime/avibactam resulted in significant kill against the GES-5 isogenic isolate. The meropenem HSR produced &gt;1 log10 kill against each isogenic isolate (MICs of 1-4 mg/L). Against the GES-5 clinical isolate, ceftazidime and ceftazidime/avibactam resulted in &gt;1 log10 kill compared with bacterial growth with the meropenem HSR. In the clinical isolate harbouring GES-15, the elevated MICs of ceftazidime and ceftazidime/avibactam reduced the effectiveness of both compounds, while the observed reduction in meropenem MIC translated into in vivo efficacy of the HSR regimen, predictive of clinical efficacy. In GES-harbouring P. aeruginosa, quantitative reductions in bacterial density observed with the translational murine model suggest that the phenotypic profile of ceftazidime, ceftazidime/avibactam and meropenem is predictive of clinical efficacy when using the evaluated dosing regimens.";2022;Sep;The Journal of antimicrobial chemotherapy;"Gill CM; Oliver A; Fraile-Ribot PA; Nicolau DP";"Gill CM; Oliver A; Fraile-Ribot PA; Nicolau DP. In vivo translational assessment of the GES genotype on the killing profile of ceftazidime, ceftazidime/avibactam and meropenem against Pseudomonas aeruginosa.. The Journal of antimicrobial chemotherapy. 2022;Sep.";2022-Sep
